ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference,status,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Countries,Family_ID,Language_ID.y
nort2883-aes,nort2883,aes,1,aes-not_endangered,"Bikol, Northern Catanduanes (cts-cts) = 6a (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Northern Catanduanes Bicolano,Papunesia,13.9032,124.27,nort2883,cts,PH,aust1307,NA
alba1269-aes,alba1269,aes,1,aes-not_endangered,Albay Bicolano (rbl-bhk) = 6a* (Vigorous).,hh:h:Ethnologue:23,NA,not_endangered,Inland-Buhi-Daraga Bikol,Papunesia,13.1989,123.49,alba1269,bhk,PH,aust1307,NA
irig1242-aes,irig1242,aes,1,aes-not_endangered,"Bikol, Rinconada (bto-bto) = 6a (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Iriga Bicolano,Papunesia,13.3896,123.331,irig1242,bto,PH,aust1307,NA
libo1242-aes,libo1242,aes,1,aes-not_endangered,"Bikol, Libon (lbl-lbl) = 6a* (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Libon,Papunesia,13.17,123.5,libo1242,lbl,PH,aust1307,alba1269
dara1251-aes,dara1251,aes,1,aes-not_endangered,"Bikol, Miraya (rbl-rbl) = 6a* (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Daraga,Papunesia,13.17,123.5,dara1251,rbl,PH,aust1307,alba1269
buhi1243-aes,buhi1243,aes,1,aes-not_endangered,"Bikol, Buhi’non (ubl-ubl) = 6a (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Buhi,Papunesia,13.17,123.5,buhi1243,ubl,PH,aust1307,alba1269
oass1237-aes,oass1237,aes,1,aes-not_endangered,"Bikol, West Albay (fbl-fbl) = 6a* (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Oas,Papunesia,13.17,123.5,oass1237,fbl,PH,aust1307,alba1269
sout2912-aes,sout2912,aes,1,aes-not_endangered,"Bikol, Southern Catanduanes (bln-bln) = 6a* (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Coastal-Virac Bikol,Papunesia,13.6989,124.29,sout2912,bln,PH,aust1307,NA
cent2087-aes,cent2087,aes,1,aes-not_endangered,"Bikol, Central (bcl-bcl) = 3 (Wider communication). Statutory language of provincial identity in Camarines Norte, 4 other provinces (1991, ACFLC Section 3(f)).",hh:h:Ethnologue:25,NA,not_endangered,Coastal-Naga Bikol,Papunesia,13.7574,123.403,cent2087,bcl,PH,aust1307,NA
mtir1235-aes,mtir1235,aes,2,aes-threatened,"Agta, Mt. Iriga (agz-agz) = 6b* (Threatened).",hh:h:Ethnologue:25,NA,threatened,Mt. Iriga Agta,Papunesia,13.4566,123.463,mtir1235,agz,PH,aust1307,NA
isar1235-aes,isar1235,aes,5,aes-nearly_extinct,"Isarog Agta (2831-agk) = Critically Endangered (20 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Isarog Agta,Papunesia,13.651,123.332,isar1235,agk,PH,aust1307,NA
mtir1236-aes,mtir1236,aes,5,aes-nearly_extinct,"Mount Iraya Agta (2832-atl) = Critically Endangered (100 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,nearly_extinct,Mt. Iraya Agta,Papunesia,13.4588,123.552,mtir1236,atl,PH,aust1307,NA
kasi1256-aes,kasi1256,aes,1,aes-not_endangered,Kasiguranin (ksn-ksn) = 6a* (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Kasiguranin,Papunesia,16.1881,122.118,kasi1256,ksn,PH,aust1307,NA
fili1244-aes,fili1244,aes,1,aes-not_endangered,"Filipino (fil-fil) = 1 (National). Statutory national language (1987, Constitution, Article 14(6)), not used in all official domains.",hh:h:Ethnologue:25,NA,not_endangered,Filipino,Papunesia,12.265,123.464,fili1244,fil,PH,aust1307,NA
taga1270-aes,taga1270,aes,1,aes-not_endangered,Tagalog (tgl-tgl) = 3 (Wider communication). De facto national working language.,hh:h:Ethnologue:25,NA,not_endangered,Tagalog,Papunesia,14.06,121.747,taga1270,tgl,PH,aust1307,NA
magu1243-aes,magu1243,aes,1,aes-not_endangered,"Maguindanaon (mdh-mdh) = 4 (Educational). Statutory language of provincial identity in North Cotabato and 3 other Mindanao provinces (1991, ACFLC Section 3(f)).",hh:h:Ethnologue:25,NA,not_endangered,Maguindanao,Papunesia,6.9453,124.509,magu1243,mdh,PH,aust1307,NA
mara1404-aes,mara1404,aes,1,aes-not_endangered,Maranao (mrw-mrw) = 4 (Educational). De facto language of provincial identity in Lanao del Sur.,hh:h:Ethnologue:25,NA,not_endangered,Maranao,Papunesia,7.79414,124.175,mara1404,mrw,PH,aust1307,NA
iran1262-aes,iran1262,aes,1,aes-not_endangered,Iranun (ill-ill) = 6a (Vigorous).,NA,NA,not_endangered,Iranun,Papunesia,4.3362,118.224,iran1262,ill,MY,aust1307,NA
saba1284-aes,saba1284,aes,2,aes-threatened,Iranun (ilm-ilm) = 6b (Threatened).,hh:h:Ethnologue:25,NA,threatened,Sabah Iranun,Papunesia,6.35,116.43,saba1284,ilm,MY,aust1307,iran1262
phil1247-aes,phil1247,aes,1,aes-not_endangered,Iranun (ilp-ilp) = 6a* (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Philippines Iranun,Papunesia,NA,NA,phil1247,ilp,PH,aust1307,iran1262
lola1250-aes,lola1250,aes,4,aes-moribund,"Lolak (2703-llq) = Severely Endangered (40 percent certain, based on the evidence available)",hh:hel:Campbell:ElCat,NA,moribund,Lolak,Papunesia,0.85544,124.117,lola1250,llq,ID,aust1307,NA
suwa1241-aes,suwa1241,aes,3,aes-shifting,Suwawa (swu-swu) = 7 (Shifting).,hh:h:Ethnologue:25,NA,shifting,Suwawa,Papunesia,0.4907,123.362,suwa1241,swu,ID,aust1307,NA
kaid1239-aes,kaid1239,aes,3,aes-shifting,Kaidipang (kzp-kzp) = 7 (Shifting).,hh:h:Ethnologue:25,NA,shifting,Kaidipang,Papunesia,0.85641,123.217,kaid1239,kzp,ID,aust1307,NA
goro1259-aes,goro1259,aes,2,aes-threatened,Gorontalo (gor-gor) = 6b (Threatened).,hh:h:Ethnologue:25,NA,threatened,Gorontalo,Papunesia,0.62689,122.288,goro1259,gor,ID,aust1307,NA
bint1245-aes,bint1245,aes,3,aes-shifting,Bintauna (bne-bne) = 7 (Shifting).,hh:h:Ethnologue:25,NA,shifting,Bintauna,Papunesia,0.75069,123.486,bint1245,bne,ID,aust1307,NA
buol1237-aes,buol1237,aes,1,aes-not_endangered,Buol (blf-blf) = 6a (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Buol,Papunesia,0.97727,121.519,buol1237,blf,ID,aust1307,NA
bola1252-aes,bola1252,aes,2,aes-threatened,Bolango (bld-bld) = 6b (Threatened).,hh:h:Ethnologue:25,NA,threatened,Bolango,Papunesia,0.39044,123.888,bola1252,bld,ID,aust1307,NA
pono1240-aes,pono1240,aes,6,aes-extinct,Ponosakan (pns-pns) = 9 (Dormant).,hh:h:Ethnologue:25,NA,extinct,Ponosakan,Papunesia,0.91716,124.712,pono1240,pns,ID,aust1307,NA
mong1342-aes,mong1342,aes,2,aes-threatened,Mongondow (mog-mog) = 6b (Threatened).,hh:h:Ethnologue:25,NA,threatened,Mongondow,Papunesia,0.64616,124.114,mong1342,mog,ID,aust1307,NA
koli1253-aes,koli1253,aes,1,aes-not_endangered,"Subanon, Kolibugan (skn-skn) = 6a (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Kolibugan Subanon,Papunesia,7.77212,122.567,koli1253,skn,PH,aust1307,NA
west2557-aes,west2557,aes,2,aes-threatened,"Subanon, Western (suc-suc) = 6b (Threatened).",hh:h:Ethnologue:25,NA,threatened,Western Subanon,Papunesia,7.79964,122.341,west2557,suc,PH,aust1307,NA
lapu1236-aes,lapu1236,aes,1,aes-not_endangered,"Subanen, Southern (laa-laa) = 5* (Developing).",hh:h:Ethnologue:25,NA,not_endangered,Lapuyan Subanun,Papunesia,7.53449,123.13,lapu1236,laa,PH,aust1307,NA
